input_file,si,ti,n
bigbuck_bunny.mkv,25.634,7.641,453
bigbuck_bunny.mkv,25.314,8.892,454
bigbuck_bunny.mkv,25.12,9.996,455
bigbuck_bunny.mkv,25.039,10.874,456
bigbuck_bunny.mkv,24.995,11.387,457
bigbuck_bunny.mkv,24.994,12.073,458
bigbuck_bunny.mkv,25.092,11.87,459
bigbuck_bunny.mkv,25.227,11.529,460
bigbuck_bunny.mkv,25.414,10.154,461
bigbuck_bunny.mkv,25.594,8.86,462
bigbuck_bunny.mkv,25.728,9.36,463
bigbuck_bunny.mkv,25.731,9.586,464
bigbuck_bunny.mkv,25.667,9.106,465
bigbuck_bunny.mkv,25.56,9.139,466
bigbuck_bunny.mkv,25.316,9.872,467
bigbuck_bunny.mkv,25.156,10.605,468
bigbuck_bunny.mkv,24.959,11.28,469
bigbuck_bunny.mkv,24.781,12.059,470
bigbuck_bunny.mkv,24.61,12.772,471
bigbuck_bunny.mkv,24.476,12.981,472
bigbuck_bunny.mkv,24.324,13.53,473
bigbuck_bunny.mkv,24.24,13.897,474
bigbuck_bunny.mkv,24.297,13.507,475
bigbuck_bunny.mkv,24.455,12.615,476
bigbuck_bunny.mkv,24.53,12.017,477
bigbuck_bunny.mkv,24.553,12.04,478
bigbuck_bunny.mkv,24.601,12.447,479
bigbuck_bunny.mkv,24.646,12.176,480
bigbuck_bunny.mkv,24.548,11.844,481
bigbuck_bunny.mkv,24.411,12.064,482
bigbuck_bunny.mkv,24.272,12.87,483
bigbuck_bunny.mkv,24.156,14.157,484
bigbuck_bunny.mkv,24.083,15.311,485
bigbuck_bunny.mkv,24.069,16.478,486
bigbuck_bunny.mkv,24.074,17.128,487
bigbuck_bunny.mkv,24.16,16.57,488
bigbuck_bunny.mkv,24.257,16.717,489
bigbuck_bunny.mkv,24.329,16.874,490
bigbuck_bunny.mkv,24.391,16.625,491
bigbuck_bunny.mkv,24.206,16.47,492
bigbuck_bunny.mkv,23.913,16.675,493
bigbuck_bunny.mkv,23.812,16.869,494
bigbuck_bunny.mkv,23.716,16.546,495
bigbuck_bunny.mkv,23.499,17.213,496
bigbuck_bunny.mkv,23.275,17.443,497
bigbuck_bunny.mkv,23.066,16.66,498
bigbuck_bunny.mkv,22.843,17.162,499
bigbuck_bunny.mkv,22.566,17.938,500
bigbuck_bunny.mkv,22.408,18.344,501
bigbuck_bunny.mkv,22.315,18.762,502
bigbuck_bunny.mkv,22.284,17.507,503
bigbuck_bunny.mkv,22.209,16.434,504
bigbuck_bunny.mkv,22.169,15.648,505
bigbuck_bunny.mkv,22.201,15.064,506
bigbuck_bunny.mkv,22.247,14.728,507
bigbuck_bunny.mkv,22.268,15.054,508
bigbuck_bunny.mkv,22.398,14.797,509
bigbuck_bunny.mkv,22.903,13.567,510
bigbuck_bunny.mkv,22.879,12.59,511
bigbuck_bunny.mkv,22.528,11.844,512
bigbuck_bunny.mkv,22.372,11.402,513
bigbuck_bunny.mkv,22.321,11.274,514
bigbuck_bunny.mkv,22.272,10.94,515
bigbuck_bunny.mkv,22.25,10.796,516
bigbuck_bunny.mkv,22.283,10.417,517
bigbuck_bunny.mkv,22.349,8.485,518
bigbuck_bunny.mkv,22.325,8.06,519
bigbuck_bunny.mkv,22.304,8.007,520
bigbuck_bunny.mkv,22.31,7.81,521
bigbuck_bunny.mkv,22.282,7.266,522
bigbuck_bunny.mkv,22.263,7.11,523
bigbuck_bunny.mkv,22.318,6.626,524
bigbuck_bunny.mkv,22.368,5.622,525
bigbuck_bunny.mkv,22.273,4.866,526
bigbuck_bunny.mkv,22.053,6.141,527
bigbuck_bunny.mkv,21.878,8.154,528
bigbuck_bunny.mkv,21.725,10.183,529
bigbuck_bunny.mkv,21.552,11.956,530
bigbuck_bunny.mkv,21.466,13.486,531
bigbuck_bunny.mkv,21.396,14.38,532
bigbuck_bunny.mkv,21.313,15.368,533
bigbuck_bunny.mkv,21.198,15.981,534
bigbuck_bunny.mkv,21.134,15.974,535
bigbuck_bunny.mkv,21.165,15.217,536
bigbuck_bunny.mkv,21.221,14.323,537
bigbuck_bunny.mkv,21.271,14.123,538
bigbuck_bunny.mkv,21.478,13.058,539
bigbuck_bunny.mkv,21.696,12.023,540
bigbuck_bunny.mkv,21.905,11.919,541
bigbuck_bunny.mkv,22.073,10.365,542
bigbuck_bunny.mkv,22.353,10.501,543
bigbuck_bunny.mkv,22.557,8.792,544
bigbuck_bunny.mkv,22.659,7.382,545
bigbuck_bunny.mkv,22.658,7.165,546
bigbuck_bunny.mkv,22.737,7.298,547
bigbuck_bunny.mkv,22.844,6.877,548
bigbuck_bunny.mkv,22.955,4.83,549
bigbuck_bunny.mkv,23.159,3.773,550
bigbuck_bunny.mkv,23.423,3.157,551
bigbuck_bunny.mkv,23.669,2.187,552
bigbuck_bunny.mkv,24.004,1.996,553
bigbuck_bunny.mkv,24.264,1.458,554
bigbuck_bunny.mkv,24.459,1.156,555
bigbuck_bunny.mkv,24.548,0.815,556
bigbuck_bunny.mkv,24.563,0.446,557
bigbuck_bunny.mkv,24.567,0.41,558
bigbuck_bunny.mkv,24.571,0.392,559
bigbuck_bunny.mkv,24.575,0.401,560
bigbuck_bunny.mkv,24.577,0.409,561
bigbuck_bunny.mkv,24.586,0.411,562
bigbuck_bunny.mkv,24.596,0.419,563
bigbuck_bunny.mkv,24.6,0.41,564
bigbuck_bunny.mkv,24.604,0.404,565
bigbuck_bunny.mkv,24.607,0.406,566
bigbuck_bunny.mkv,24.606,0.396,567
bigbuck_bunny.mkv,24.607,0.407,568
bigbuck_bunny.mkv,24.607,0.402,569
bigbuck_bunny.mkv,24.61,0.428,570
bigbuck_bunny.mkv,24.61,0.418,571
bigbuck_bunny.mkv,24.612,0.42,572
bigbuck_bunny.mkv,24.612,0.42,573
bigbuck_bunny.mkv,24.615,0.424,574
bigbuck_bunny.mkv,24.615,0.423,575
bigbuck_bunny.mkv,24.617,0.441,576
bigbuck_bunny.mkv,24.618,0.443,577
bigbuck_bunny.mkv,24.621,0.445,578
bigbuck_bunny.mkv,24.537,0.535,579
bigbuck_bunny.mkv,24.531,0.511,580
bigbuck_bunny.mkv,24.532,0.607,581
