input_file,si,ti,n
Sparks_cut.mkv,42.519,15.635,387
Sparks_cut.mkv,43.469,16.139,388
Sparks_cut.mkv,44.233,16.275,389
Sparks_cut.mkv,42.709,15.775,390
Sparks_cut.mkv,43.596,15.647,391
Sparks_cut.mkv,43.252,16.2,392
Sparks_cut.mkv,43.345,15.873,393
Sparks_cut.mkv,44.051,16.153,394
Sparks_cut.mkv,45.55,16.564,395
Sparks_cut.mkv,46.721,16.956,396
Sparks_cut.mkv,46.877,17.145,397
Sparks_cut.mkv,45.39,16.896,398
Sparks_cut.mkv,46.569,16.846,399
Sparks_cut.mkv,46.067,17.076,400
Sparks_cut.mkv,44.445,16.853,401
Sparks_cut.mkv,43.351,16.605,402
Sparks_cut.mkv,42.282,16.295,403
Sparks_cut.mkv,42.175,16.16,404
Sparks_cut.mkv,42.441,16.312,405
Sparks_cut.mkv,43.011,16.289,406
Sparks_cut.mkv,44.291,16.521,407
Sparks_cut.mkv,45.013,17.003,408
Sparks_cut.mkv,44.681,16.927,409
Sparks_cut.mkv,45.533,17.044,410
Sparks_cut.mkv,45.462,17.249,411
Sparks_cut.mkv,44.285,16.99,412
Sparks_cut.mkv,44.054,16.651,413
Sparks_cut.mkv,43.794,16.451,414
Sparks_cut.mkv,44.295,16.459,415
Sparks_cut.mkv,44.395,16.549,416
Sparks_cut.mkv,44.528,16.562,417
Sparks_cut.mkv,45.443,16.684,418
Sparks_cut.mkv,45.297,16.398,419
Sparks_cut.mkv,45.963,16.636,420
Sparks_cut.mkv,45.878,16.664,421
Sparks_cut.mkv,44.898,16.59,422
Sparks_cut.mkv,45.179,16.56,423
Sparks_cut.mkv,43.905,16.458,424
Sparks_cut.mkv,45.958,16.761,425
Sparks_cut.mkv,46.93,17.161,426
Sparks_cut.mkv,46.677,17.225,427
Sparks_cut.mkv,46.88,17.399,428
Sparks_cut.mkv,46.272,17.055,429
Sparks_cut.mkv,45.99,16.901,430
Sparks_cut.mkv,46.488,16.738,431
Sparks_cut.mkv,47.067,16.984,432
